TransactionAmount,TransactionDuration,AccountBalance,CustomerAge,TransactionType,Channel,Cluster
626.9,138.0,265.51,26.0,Debit,Online,3
22.01,175.0,1335.09,41.0,Credit,Online,3
425.34,121.0,3907.5399999999995,69.0,Credit,Online,3
424.56,264.0,5183.85,51.0,Debit,Online,3
85.43,145.0,14904.9,67.0,Debit,Branch,1
169.5,142.0,918.8799999999999,28.0,Debit,Branch,1
104.63,90.0,4477.78,62.0,Debit,ATM,2
316.95,83.0,1324.03,25.0,Debit,Branch,1
60.540000000000006,52.00000000000001,3534.93,57.0,Credit,Branch,1
292.56,61.00000000000001,4638.37,68.0,Credit,Branch,1
386.52,28.0,5630.61,48.0,Debit,Branch,1
112.07,51.00000000000001,930.3,23.0,Debit,Branch,1
568.52,151.99999999999997,5499.91,46.0,Debit,ATM,2
263.99,227.0,4175.02,79.0,Debit,Branch,1
349.64,226.0,6651.62,48.0,Debit,Online,3
601.4,104.0,8458.29,56.0,Credit,Branch,1
5.77,123.99999999999999,13988.12,50.0,Debit,Online,3
201.33,186.0,2585.07,42.0,Credit,Branch,1
298.42,225.0,3014.75,56.0,Debit,Branch,1
521.06,128.0,1951.42,25.0,Debit,Branch,1
117.28,16.0,3665.77,60.0,Credit,Online,3
189.12,103.0,977.01,32.0,Credit,Branch,1
133.55,220.0,3846.2800000000007,44.0,Debit,ATM,2
143.21,135.0,6374.82,35.0,Debit,Online,3
24.77,55.0,5866.01,62.0,Debit,ATM,2
233.92,280.0,6537.62,26.0,Credit,Online,3
1212.51,24.0,605.9499999999999,20.0,Debit,Branch,1
232.12,51.00000000000001,6689.87,37.0,Debit,ATM,2
162.63,113.0,634.17,22.0,Debit,Online,3
91.53,69.00000000000001,14676.05,44.0,Debit,Branch,1
120.29,77.0,1362.39,19.0,Debit,Branch,1
174.25,67.0,10528.34,50.0,Debit,Online,3
183.71,102.0,552.52,38.0,Debit,ATM,2
345.39,80.0,6451.96,58.0,Credit,Online,3
922.55,87.0,4715.84,63.0,Debit,ATM,2
259.91,170.0,7176.86,49.0,Debit,Online,3
154.71,157.0,1523.72,34.0,Debit,Online,3
1340.19,30.0,8654.28,54.0,Credit,Online,3
24.56,69.00000000000001,9869.93,64.0,Debit,Branch,1
568.07,115.0,10556.81,48.0,Debit,ATM,2
9.61,179.0,12883.91,58.0,Credit,Online,3
392.96,100.00000000000001,791.65,24.0,Debit,Online,3
716.93,34.0,4064.02,60.0,Credit,Online,3
223.85,55.0,2929.91,53.0,Debit,ATM,2
230.66,135.0,618.05,21.0,Debit,Branch,1
442.12,260.0,1375.8,19.0,Debit,Online,3
644.17,72.0,1143.52,29.0,Debit,ATM,2
508.67999999999995,127.0,7708.41,51.0,Credit,Branch,1
858.63,185.0,1872.96,27.0,Credit,Branch,1
25.36,78.0,201.04,57.0,Debit,ATM,2
147.62,133.0,2115.8,71.0,Debit,Branch,1
115.02,175.0,7643.66,37.0,Debit,Branch,1
383.37,24.0,8901.93,30.0,Debit,Branch,1
98.54,167.0,9383.43,20.0,Credit,Online,3
83.24,164.0,1181.31,55.0,Credit,Branch,1
196.16,146.0,9418.86,27.0,Debit,Branch,1
129.94,235.0,7954.919999999999,32.0,Debit,ATM,2
306.9,51.00000000000001,9418.08,46.0,Debit,Online,3
114.98,80.0,6144.68,59.0,Debit,Online,3
756.59,17.0,420.65,27.0,Debit,Branch,1
503.76000000000005,35.0,447.82,22.0,Debit,Online,3
143.03,147.0,7981.450000000001,63.0,Debit,ATM,2
1045.22,73.0,1829.9,53.0,Debit,ATM,2
245.54,180.0,985.0600000000001,25.0,Debit,ATM,2
254.37000000000003,174.0,8849.26,51.0,Credit,Online,3
213.76,282.0,3528.72,78.0,Credit,ATM,2
327.86,104.0,480.16,40.0,Debit,Online,3
2.5,107.0,12145.27,47.0,Debit,Online,3
300.08,47.0,13546.75,68.0,Credit,Online,3
56.98,122.0,5688.37,43.0,Credit,ATM,2
407.65,61.99999999999999,8346.64,26.0,Debit,Online,3
115.83,167.0,6481.04,39.0,Debit,Branch,1
53.57,121.0,1651.33,69.0,Debit,ATM,2
63.34,165.0,11174.94,46.0,Credit,Online,3
317.87,91.0,145.5,27.0,Debit,Online,3
331.65,61.00000000000001,4172.57,41.0,Debit,Online,3
5.04,41.0,5558.36,56.0,Debit,ATM,2
214.54,247.0,11151.53,70.0,Credit,Online,3
598.81,158.0,1415.52,57.0,Debit,Branch,1
841.28,80.0,1103.64,26.0,Debit,Online,3
38.15,107.99999999999999,303.68,26.0,Debit,Online,3
1036.66,144.0,5541.57,58.0,Debit,Branch,1
124.72,105.0,6309.8,33.0,Debit,Branch,1
302.45,40.0,5133.61,78.0,Credit,Branch,1
208.04,273.0,9344.98,47.0,Debit,Online,3
5.77,254.0,1117.97,23.0,Credit,Branch,1
381.33,75.0,11835.35,56.0,Debit,ATM,2
16.16,123.99999999999999,14401.17,50.0,Debit,ATM,2
486.0799999999999,68.00000000000001,1748.69,18.0,Debit,Online,3
336.39,18.0,1000.46,21.0,Debit,Branch,1
997.4299999999998,118.0,6810.05,69.0,Debit,Online,3
234.57,120.0,263.98,23.0,Debit,Online,3
6.0,246.0,5442.76,30.0,Debit,Online,3
1049.92,21.000000000000004,2037.85,80.0,Debit,ATM,2
227.14,294.0,341.94,18.0,Debit,ATM,2
233.74,17.0,1066.59,66.0,Credit,Online,3
113.02,166.0,6077.96,69.0,Credit,Branch,1
45.85,91.99999999999999,1659.15,20.0,Debit,ATM,2
973.3899999999999,296.0,2042.22,77.0,Debit,Branch,1
514.95,142.0,421.93,41.0,Debit,Online,3
415.5,141.0,10113.66,66.0,Debit,ATM,2
265.76,91.99999999999999,4446.17,54.0,Debit,Online,3
69.4,113.0,6452.77,80.0,Debit,Online,3
332.93,293.0,2788.2,35.0,Credit,Branch,1
267.9,160.0,596.1599999999999,20.0,Debit,Online,3
496.0299999999999,265.0,12904.66,61.0,Debit,Branch,1
376.26,245.0,9062.4,37.0,Debit,ATM,2
83.02,171.0,9009.56,36.0,Credit,Online,3
93.26,72.0,1152.2,20.0,Credit,Online,3
803.37,129.0,12168.37,68.0,Credit,Branch,1
35.76,122.0,611.8599999999999,23.0,Debit,Branch,1
28.53,99.0,8670.53,62.0,Debit,Online,3
139.53,177.0,10098.86,53.0,Credit,Online,3
307.57,285.0,5307.74,33.0,Debit,Branch,1
60.650000000000006,53.00000000000001,1047.28,56.0,Credit,Branch,1
74.86,125.0,6921.48,70.0,Debit,Branch,1
117.97,137.0,1475.46,51.0,Debit,Branch,1
231.91,165.0,112.76,34.0,Debit,ATM,2
126.20999999999998,268.0,5669.66,75.0,Debit,Branch,1
506.28,162.0,1309.95,53.0,Credit,Online,3
304.35,36.0,4057.1,31.0,Debit,Branch,1
281.85,109.0,1585.98,22.0,Debit,ATM,2
777.88,17.0,6825.55,31.0,Debit,Branch,1
119.18,96.0,5516.5,56.0,Debit,Branch,1
177.19,43.0,5343.3,76.0,Debit,Online,3
260.88,36.0,903.05,22.0,Debit,Branch,1
169.47,18.999999999999996,1806.16,24.0,Debit,Online,3
73.23,14.0,787.7399999999999,26.0,Debit,Branch,1
1362.55,106.0,2429.68,29.0,Debit,ATM,2
792.57,164.0,770.37,19.0,Debit,ATM,2
237.06,45.99999999999999,1182.77,71.0,Debit,Online,3
34.17,53.99999999999999,726.55,54.0,Credit,Online,3
740.25,123.0,14464.3,41.0,Debit,Online,3
453.54,82.0,12046.3,58.0,Debit,ATM,2
300.47,100.00000000000001,7885.64,73.0,Debit,Branch,1
110.93,201.0,1952.3499999999997,19.0,Credit,Branch,1
201.69,299.0,7328.52,59.0,Debit,ATM,2
399.21,109.0,3210.39,59.0,Debit,ATM,2
1041.88,57.0,5726.2,78.0,Debit,Online,3
630.36,52.00000000000001,1363.65,62.0,Debit,ATM,2
10.94,245.0,1241.99,60.0,Credit,ATM,2
215.9,235.0,7873.280000000001,38.0,Debit,ATM,2
1422.55,165.0,5674.32,79.0,Debit,Branch,1
226.37,141.0,9840.04,49.0,Credit,Branch,1
444.89,101.0,10328.23,43.0,Credit,Branch,1
280.57,24.0,293.24,25.0,Credit,Online,3
488.54,132.0,7486.63,52.0,Debit,Branch,1
3.3,131.0,11385.37,50.0,Credit,Branch,1
199.39,165.0,7264.79,69.0,Debit,Branch,1
20.36,75.0,2762.48,62.0,Debit,Branch,1
113.64,32.0,6675.03,62.0,Debit,Online,3
493.11,236.0,7432.99,53.0,Debit,Branch,1
307.41,14.0,1057.0,19.0,Debit,ATM,2
11.18,161.0,5956.89,43.0,Debit,Online,3
313.82,151.0,7261.59,59.0,Debit,Branch,1
51.0,107.0,4943.16,64.0,Debit,Branch,1
140.98,100.00000000000001,8127.4800000000005,60.0,Debit,Branch,1
288.04,63.0,1748.02,68.0,Debit,ATM,2
800.55,107.99999999999999,9660.22,31.0,Debit,ATM,2
485.54,143.0,6371.51,46.0,Debit,ATM,2
521.15,214.0,9442.47,54.0,Debit,ATM,2
321.79,61.00000000000001,5959.2,63.0,Credit,ATM,2
304.93,158.0,13531.22,65.0,Debit,ATM,2
432.08,145.0,11500.62,40.0,Debit,ATM,2
694.2,72.0,1389.37,61.0,Debit,ATM,2
116.86,171.0,6706.56,55.0,Debit,ATM,2
386.81,149.0,7175.29,57.0,Credit,Online,3
74.88,202.0,420.67,25.0,Debit,ATM,2
195.76,99.0,7323.53,75.0,Debit,Branch,1
134.7,106.0,8395.85,50.0,Debit,ATM,2
890.24,161.0,5140.93,33.0,Credit,Online,3
361.27,180.0,7945.57,63.0,Debit,ATM,2
131.56,42.00000000000001,5873.54,44.0,Debit,Branch,1
485.51,37.0,3074.45,76.0,Credit,Online,3
547.87,131.0,6155.76,64.0,Debit,ATM,2
457.3,15.0,8318.29,28.0,Debit,Online,3
506.24,64.0,230.09,58.0,Debit,ATM,2
486.59,119.0,2513.56,57.0,Debit,Branch,1
163.68,292.0,10090.05,41.0,Debit,Branch,1
581.65,176.0,480.19000000000005,22.0,Debit,ATM,2
52.01,85.0,1120.88,48.0,Debit,ATM,2
630.24,61.99999999999999,370.81,21.0,Debit,ATM,2
523.74,159.0,13498.55,43.0,Debit,ATM,2
705.6,123.99999999999999,14804.7,40.0,Debit,Branch,1
217.5,35.0,3057.4,46.0,Credit,Branch,1
91.48,141.0,14942.779999999999,51.0,Debit,ATM,2
5.25,49.0,14143.32,39.0,Debit,ATM,2
54.03,161.0,6736.3,56.0,Credit,ATM,2
736.73,10.0,3313.07,48.0,Debit,Branch,1
368.91,14.0,829.7099999999999,54.0,Debit,Branch,1
33.06,170.0,1540.87,53.0,Credit,Online,3
66.5,144.0,6820.23,32.0,Credit,Online,3
177.08,85.0,13475.14,35.0,Debit,Online,3
588.54,130.0,714.4499999999999,32.0,Debit,Branch,1
173.5,282.0,1306.91,21.0,Debit,ATM,2
78.33,189.0,7255.33,56.0,Credit,Online,3
40.66,156.0,1153.84,59.0,Debit,Branch,1
97.22,55.0,6647.73,77.0,Credit,Branch,1
34.07,81.0,8709.77,22.0,Debit,Branch,1
492.06000000000006,74.0,857.9,23.0,Debit,Online,3
842.01,185.0,509.45000000000005,53.0,Credit,Online,3
73.55,158.0,2812.06,51.0,Debit,ATM,2
760.53,118.0,6179.91,57.0,Debit,Online,3
273.08,134.0,6609.3,26.0,Credit,Branch,1
371.69,143.0,3484.32,67.0,Debit,Branch,1
218.96,13.0,754.21,18.0,Debit,ATM,2
227.39,65.0,751.09,18.0,Debit,Online,3
237.99,86.0,8510.09,39.0,Credit,Branch,1
186.6,13.0,1508.72,58.0,Debit,Online,3
341.15,148.0,511.36999999999995,18.0,Debit,Online,3
434.58,215.0,12648.32,59.0,Debit,ATM,2
312.88,44.0,233.21,54.0,Credit,Branch,1
75.15,154.0,1092.92,23.0,Debit,ATM,2
23.3,161.0,6711.15,59.0,Debit,ATM,2
47.38,61.00000000000001,459.37,25.0,Credit,Online,3
512.81,30.0,6994.34,79.0,Debit,Branch,1
488.15000000000003,168.00000000000003,7071.09,43.0,Debit,Branch,1
12.82,156.0,9045.19,44.0,Debit,ATM,2
66.9,129.0,5238.71,79.0,Credit,Online,3
535.91,22.0,9642.12,43.0,Debit,Online,3
270.72,53.00000000000001,6263.96,26.0,Credit,Online,3
97.98,18.0,7460.329999999999,72.0,Debit,Branch,1
196.08,98.0,4233.82,61.0,Debit,Online,3
251.18000000000004,246.0,8303.9,42.0,Debit,ATM,2
44.52,205.0,314.28,28.0,Debit,Online,3
178.87,180.0,5241.23,35.0,Debit,Online,3
1176.28,174.0,323.69,54.0,Credit,ATM,2
386.68,128.0,6863.06,46.0,Debit,Branch,1
167.14,20.0,3877.7299999999996,76.0,Debit,Online,3
345.22,253.0,4046.5800000000004,69.0,Debit,Branch,1
74.85,117.0,2409.73,72.0,Debit,ATM,2
671.73,53.99999999999999,5211.88,58.0,Debit,Branch,1
255.03999999999996,151.99999999999997,6217.86,45.0,Debit,ATM,2
45.77,109.0,5978.12,25.0,Debit,Online,3
329.69,66.0,1671.66,26.0,Credit,Online,3
362.04,198.0,8421.88,58.0,Credit,Branch,1
11.92,52.00000000000001,14611.9,53.0,Debit,Branch,1
47.42,28.0,8253.52,64.0,Debit,ATM,2
35.99,129.0,4489.79,63.0,Debit,Branch,1
151.19,96.0,11903.82,37.0,Credit,Branch,1
242.62,234.0,483.02000000000004,22.0,Credit,Online,3
48.72,17.0,816.0799999999999,21.0,Debit,Branch,1
43.46,80.0,578.06,25.0,Debit,ATM,2
1036.21,126.0,477.3,25.0,Debit,Online,3
443.79,87.0,3133.85,53.0,Debit,ATM,2
365.14,57.0,5894.09,68.0,Debit,Online,3
757.41,37.0,9532.42,22.0,Debit,ATM,2
20.54,72.0,5327.03,51.0,Debit,Branch,1
475.36,105.0,2000.6,34.0,Debit,ATM,2
34.74,24.0,6827.57,56.0,Debit,ATM,2
689.54,93.0,1633.76,27.0,Debit,Branch,1
211.18,90.0,4069.1699999999996,73.0,Debit,ATM,2
211.36,286.0,7943.469999999999,51.0,Credit,Branch,1
744.41,107.0,8842.47,39.0,Credit,Online,3
61.43,170.0,1882.77,24.0,Debit,Online,3
167.44,82.0,12526.71,37.0,Debit,Branch,1
361.46,83.0,4737.84,21.0,Debit,Online,3
378.85,126.0,2300.53,78.0,Debit,Branch,1
241.10999999999999,55.0,12385.05,30.0,Debit,Branch,1
131.93,13.0,4547.06,31.0,Credit,Branch,1
20.28,213.0,2047.83,36.0,Debit,Online,3
415.88,170.0,10008.33,70.0,Debit,Branch,1
49.99,139.0,2299.64,62.0,Debit,ATM,2
1221.65,153.0,243.92,27.0,Debit,Online,3
100.66,144.0,14473.33,50.0,Debit,Branch,1
485.54,148.0,1533.32,19.0,Debit,Online,3
321.15,179.0,7005.05,46.0,Debit,Branch,1
711.3,51.00000000000001,955.4,21.0,Debit,Branch,1
12.23,139.0,7844.880000000001,42.0,Debit,ATM,2
350.94,64.0,221.56,20.0,Debit,ATM,2
301.85,25.000000000000004,6586.19,54.0,Debit,Online,3
29.34,30.0,3944.82,65.0,Debit,Online,3
231.71,148.0,1127.98,27.0,Debit,Branch,1
179.43,244.0,2626.63,58.0,Debit,ATM,2
36.71,55.0,6459.38,48.0,Debit,Branch,1
138.12,281.0,1649.69,53.0,Credit,Branch,1
233.24,72.0,6939.23,33.0,Debit,ATM,2
609.14,177.0,9033.87,39.0,Debit,ATM,2
436.64,111.0,14365.18,31.0,Debit,Branch,1
870.43,55.0,10115.18,29.0,Debit,Branch,1
354.4,128.0,7358.65,74.0,Debit,ATM,2
22.63,112.0,4438.03,53.0,Debit,Online,3
182.19,53.00000000000001,1176.1,26.0,Debit,Branch,1
126.81,290.0,5427.98,26.0,Debit,Branch,1
288.17,50.00000000000001,3653.11,37.0,Debit,Online,3
118.77,123.0,2104.82,55.0,Debit,Branch,1
651.82,166.0,1802.77,21.0,Debit,ATM,2
66.65,33.0,3559.96,37.0,Debit,ATM,2
98.53,166.0,3564.8,69.0,Debit,Branch,1
138.95,30.0,6752.92,71.0,Debit,Online,3
33.89,177.0,1444.75,26.0,Debit,Branch,1
23.71,164.0,10788.89,58.0,Debit,Branch,1
1830.0,238.0,2235.7,55.0,Debit,Online,3
26.06,283.0,12893.63,65.0,Debit,ATM,2
17.07,44.0,2798.15,27.0,Debit,Branch,1
703.89,61.99999999999999,3583.67,46.0,Debit,Online,3
1271.9,155.0,2120.8,47.0,Debit,ATM,2
26.55,228.0,3085.38,77.0,Debit,ATM,2
147.4,259.0,6797.71,42.0,Debit,Branch,1
202.11,18.0,746.47,27.0,Debit,ATM,2
308.42,39.0,5427.81,75.0,Debit,Branch,1
11.18,144.0,7467.300000000001,53.0,Debit,ATM,2
294.15,136.0,6362.16,38.0,Debit,Online,3
29.58,121.0,8345.26,54.0,Debit,Branch,1
139.45,30.999999999999996,1305.76,27.0,Debit,Online,3
432.63,137.0,13648.36,29.0,Debit,ATM,2
131.43,65.0,1337.5,43.0,Debit,Online,3
516.72,128.0,2015.6900000000003,42.0,Debit,ATM,2
121.82000000000001,123.0,8354.54,69.0,Debit,Online,3
374.5,178.0,1671.51,26.0,Credit,Branch,1
166.13,227.0,11822.53,68.0,Debit,ATM,2
626.9,146.0,587.1099999999999,23.0,Debit,ATM,2
466.85,165.0,5422.53,56.0,Debit,Branch,1
788.84,231.0,1913.73,58.0,Debit,Online,3
873.65,59.00000000000001,12139.83,37.0,Credit,Online,3
525.28,134.0,4693.6,69.0,Debit,ATM,2
110.17,137.0,464.2,30.0,Debit,ATM,2
632.69,75.99999999999999,4363.74,80.0,Debit,ATM,2
124.35,90.0,3319.76,72.0,Debit,ATM,2
43.85,122.0,4356.98,62.0,Debit,ATM,2
283.81,29.000000000000004,1519.35,28.0,Debit,Branch,1
168.53,112.0,5962.58,71.0,Debit,ATM,2
218.59,123.0,6699.23,40.0,Credit,Branch,1
132.84,143.0,822.73,21.0,Debit,ATM,2
157.37,289.0,13964.31,42.0,Credit,Branch,1
144.77,159.0,867.3199999999999,20.0,Debit,Online,3
643.22,93.0,1035.86,64.0,Debit,ATM,2
1392.54,297.0,13347.69,41.0,Debit,Branch,1
208.07,36.0,8478.9,32.0,Debit,Online,3
94.3,57.0,11088.95,57.0,Debit,Branch,1
295.5,36.0,6280.66,59.0,Debit,ATM,2
30.229999999999997,99.0,481.13,44.0,Debit,ATM,2
112.05,159.0,1122.88,26.0,Credit,ATM,2
180.24,144.0,8431.23,58.0,Debit,Branch,1
13.71,148.0,8342.79,38.0,Credit,Online,3
96.54,95.0,7182.22,58.0,Debit,Branch,1
79.35,70.0,1692.15,67.0,Debit,Online,3
101.04,160.0,1695.57,27.0,Debit,ATM,2
74.42,68.00000000000001,6264.21,49.0,Debit,Online,3
39.66,169.0,8497.34,52.0,Debit,Branch,1
99.36,45.99999999999999,1272.12,40.0,Debit,ATM,2
123.85,244.0,3959.62,56.0,Debit,Online,3
426.93,247.99999999999997,476.18999999999994,19.0,Debit,ATM,2
133.73,123.0,1872.2200000000003,25.0,Credit,Online,3
222.39,73.0,3117.39,49.0,Debit,Online,3
215.94,140.0,1841.69,22.0,Credit,Online,3
6.3,283.0,7697.680000000001,80.0,Debit,Branch,1
826.23,209.0,7580.590000000001,29.0,Debit,ATM,2
416.37,67.0,7936.91,35.0,Debit,Online,3
131.46,258.0,6642.33,67.0,Debit,Branch,1
202.86,149.0,7642.250000000001,61.0,Credit,Branch,1
268.39,171.0,136.74,26.0,Debit,ATM,2
194.85,130.0,319.84,23.0,Debit,Online,3
137.35,220.0,12662.66,40.0,Credit,Online,3
712.75,25.000000000000004,8126.0599999999995,44.0,Debit,Branch,1
353.82,143.0,705.7499999999999,42.0,Debit,ATM,2
507.25000000000006,143.0,5331.57,73.0,Debit,Branch,1
212.74,128.0,7645.469999999999,27.0,Debit,Branch,1
364.42,146.0,8119.73,51.0,Debit,ATM,2
195.12,144.0,6101.15,46.0,Debit,ATM,2
230.61,204.0,2561.42,80.0,Debit,Branch,1
739.28,47.0,11905.64,58.0,Credit,Branch,1
390.35,61.00000000000001,7095.88,64.0,Credit,ATM,2
242.03000000000003,123.99999999999999,4382.73,58.0,Debit,Online,3
242.39000000000001,271.0,1328.73,18.0,Credit,ATM,2
135.03,180.0,1278.0,23.0,Debit,ATM,2
83.5,91.0,1749.79,61.0,Debit,Branch,1
193.54,267.0,2929.51,80.0,Debit,Branch,1
617.36,61.00000000000001,8926.38,29.0,Debit,Branch,1
775.23,37.99999999999999,5977.59,59.0,Credit,Online,3
266.57,100.00000000000001,7676.92,72.0,Debit,ATM,2
153.4,144.0,4657.7,45.0,Debit,ATM,2
946.94,251.0,5579.11,53.0,Debit,Branch,1
5.12,90.0,3293.01,34.0,Debit,Branch,1
119.11,131.0,7998.25,57.0,Debit,ATM,2
1096.7,147.0,1093.89,24.0,Debit,Online,3
119.72,123.0,3435.34,30.0,Debit,Branch,1
107.4,32.0,344.07,58.0,Debit,Online,3
115.92,57.0,3897.17,53.0,Debit,ATM,2
438.04,247.0,5358.95,67.0,Debit,ATM,2
677.29,287.0,627.79,27.0,Debit,Online,3
296.0,247.99999999999997,7418.82,35.0,Debit,Branch,1
299.09,84.00000000000001,5615.26,36.0,Credit,Branch,1
461.52,44.0,1995.1799999999998,24.0,Credit,Branch,1
100.52,110.0,453.39,50.0,Debit,ATM,2
85.35,166.0,2173.76,66.0,Debit,ATM,2
79.76,170.0,6452.14,39.0,Debit,Branch,1
778.49,107.0,7713.67,75.0,Credit,Online,3
386.38,135.0,5528.36,42.0,Debit,Online,3
165.25,106.0,9939.94,35.0,Debit,Online,3
14.29,150.0,7016.99,34.0,Debit,ATM,2
232.79,145.0,2661.3,55.0,Credit,Branch,1
1237.56,159.0,9410.17,60.0,Credit,Branch,1
92.29,115.0,2026.3199999999997,54.0,Debit,Branch,1
293.97,153.0,7371.85,68.0,Debit,Branch,1
136.32,113.0,264.83,19.0,Debit,Online,3
251.06,34.0,10001.66,36.0,Debit,Online,3
50.17,35.0,7752.140000000001,77.0,Credit,ATM,2
21.4,258.0,9594.11,34.0,Debit,Branch,1
73.28,21.000000000000004,1329.41,21.0,Debit,Branch,1
70.23,260.0,11624.93,38.0,Debit,ATM,2
689.29,100.00000000000001,168.84,22.0,Debit,ATM,2
745.03,231.0,160.57,28.0,Debit,Online,3
54.61,160.0,7135.64,58.0,Debit,ATM,2
54.05,146.0,469.13999999999993,27.0,Debit,Branch,1
107.47,144.0,7517.499999999999,67.0,Debit,Online,3
611.11,282.0,919.84,20.0,Debit,ATM,2
219.63,44.0,8013.63,48.0,Debit,ATM,2
188.7,123.0,5077.06,54.0,Debit,Branch,1
93.52,97.0,2791.2,51.0,Debit,Online,3
275.92,107.0,1777.38,62.0,Credit,Branch,1
376.79,265.0,7749.14,68.0,Debit,Branch,1
8.98,56.0,4516.76,66.0,Debit,Online,3
697.32,91.0,2016.0200000000002,68.0,Debit,Online,3
17.45,88.0,1959.52,18.0,Debit,ATM,2
302.16,138.0,3876.61,80.0,Debit,Online,3
442.74,136.0,1790.27,23.0,Debit,Branch,1
623.9,249.0,711.4699999999999,27.0,Debit,ATM,2
445.41,235.0,12154.66,35.0,Debit,ATM,2
63.41,36.0,1546.22,26.0,Debit,ATM,2
346.85,88.0,7208.15,44.0,Debit,ATM,2
71.95,53.00000000000001,9267.32,59.0,Credit,Online,3
7.5,36.0,6485.78,63.0,Debit,Online,3
206.46,279.0,3984.38,65.0,Debit,ATM,2
423.11,47.0,412.78,60.0,Debit,ATM,2
35.84,172.0,4795.65,54.0,Credit,Online,3
88.6,105.0,246.57,28.0,Credit,Branch,1
1431.3,168.00000000000003,1058.13,18.0,Debit,ATM,2
53.81,37.0,2564.62,55.0,Credit,ATM,2
22.46,78.0,6631.5,54.0,Debit,Online,3
334.89,260.0,1661.68,21.0,Debit,Online,3
319.27,59.00000000000001,5504.01,54.0,Credit,Online,3
144.3,88.0,312.19,18.0,Debit,ATM,2
348.7,149.0,2445.58,69.0,Credit,Branch,1
366.21,181.0,10862.99,62.0,Debit,ATM,2
99.11,12.0,5414.87,55.0,Debit,Online,3
539.35,127.0,3919.4399999999996,55.0,Debit,ATM,2
188.99,91.99999999999999,7315.34,58.0,Debit,Branch,1
1416.69,58.00000000000001,3740.7300000000005,46.0,Debit,ATM,2
710.14,227.0,465.62999999999994,26.0,Debit,ATM,2
308.68,170.0,9992.36,53.0,Debit,Online,3
166.68,139.0,5141.19,57.0,Debit,ATM,2
0.99,133.0,4317.85,45.0,Debit,ATM,2
505.18999999999994,128.0,5326.68,30.0,Debit,ATM,2
66.58,79.0,1636.32,23.0,Debit,Branch,1
223.43,178.0,7932.410000000001,77.0,Debit,Branch,1
659.95,114.0,3927.6900000000005,60.0,Debit,Online,3
634.86,45.0,588.4999999999999,27.0,Debit,ATM,2
286.5,60.00000000000001,8517.95,30.0,Credit,Branch,1
322.96,168.00000000000003,2401.59,76.0,Credit,Branch,1
654.48,114.0,6776.41,19.0,Debit,Branch,1
157.97,140.0,5529.92,48.0,Debit,Branch,1
120.90000000000002,52.00000000000001,9009.42,40.0,Debit,Branch,1
